nominal;data;curs;cdx
10;31.12.2009;23,5336;ќфиопский быр
10;30.11.2009;23,5813;ќфиопский быр
10;31.10.2009;23,2664;ќфиопский быр
10;30.09.2009;23,9996;ќфиопский быр
10;31.08.2009;25,1505;ќфиопский быр
10;31.07.2009;26,5129;ќфиопский быр
10;30.06.2009;27,5582;ќфиопский быр
10;31.05.2009;27,6157;ќфиопский быр
10;30.04.2009;30,0326;ќфиопский быр
10;31.03.2009;30,0406;ќфиопский быр
10;28.02.2009;32,3214;ќфиопский быр
10;31.01.2009;31,7358;ќфиопский быр
10;31.12.2008;29,5396;ќфиопский быр
10;30.11.2008;27,7541;ќфиопский быр
10;31.10.2008;27,8934;ќфиопский быр
10;30.09.2008;25,9877;ќфиопский быр
10;31.08.2008;25,3253;ќфиопский быр
10;31.07.2008;24,1223;ќфиопский быр
10;30.06.2008;24,3964;ќфиопский быр
10;31.05.2008;24,6415;ќфиопский быр
10;30.04.2008;24,6898;ќфиопский быр
10;31.03.2008;24,6831;ќфиопский быр
10;29.02.2008;25,8533;ќфиопский быр
10;31.01.2008;26,4649;ќфиопский быр
10;29.12.2007;26,7928;ќфиопский быр
10;30.11.2007;26,8058;ќфиопский быр
10;31.10.2007;27,2112;ќфиопский быр
10;30.09.2007;27,4832;ќфиопский быр
10;31.08.2007;28,2479;ќфиопский быр
10;31.07.2007;28,0889;ќфиопский быр
10;30.06.2007;28,4306;ќфиопский быр
10;31.05.2007;28,992;ќфиопский быр
10;30.04.2007;28,96;ќфиопский быр
10;31.03.2007;29,2775;ќфиопский быр
10;28.02.2007;29,4565;ќфиопский быр
10;31.01.2007;29,9164;ќфиопский быр
10;30.12.2006;29,9104;ќфиопский быр
10;30.11.2006;30,075;ќфиопский быр
10;31.10.2006;30,5796;ќфиопский быр
10;30.09.2006;30,5894;ќфиопский быр
10;31.08.2006;30,5831;ќфиопский быр
10;01.08.2006;30,7461;ќфиопский быр
10;01.07.2006;30,8367;ќфиопский быр
10;01.06.2006;30,8908;ќфиопский быр
10;01.05.2006;31,3311;ќфиопский быр
10;01.04.2006;31,9294;ќфиопский быр
10;01.03.2006;32,2178;ќфиопский быр
10;01.02.2006;32,2241;ќфиопский быр
10;01.01.2006;33,0024;ќфиопский быр
10;01.12.2005;32,9513;ќфиопский быр
10;01.11.2005;32,6024;ќфиопский быр
10;01.10.2005;32,9467;ќфиопский быр
10;01.09.2005;32,7576;ќфиопский быр
10;01.08.2005;32,9236;ќфиопский быр
10;01.07.2005;32,9228;ќфиопский быр
10;01.06.2005;32,2684;ќфиопский быр
10;01.05.2005;32,1318;ќфиопский быр
10;01.04.2005;31,9783;ќфиопский быр
10;01.03.2005;31,9298;ќфиопский быр
10;01.02.2005;32,6564;ќфиопский быр
10;01.01.2005;32,2659;ќфиопский быр
10;01.12.2004;32,8334;ќфиопский быр
10;01.11.2004;34,2599;ќфиопский быр
10;01.10.2004;33,9734;ќфиопский быр
10;01.09.2004;34,2043;ќфиопский быр
10;01.08.2004;33,6722;ќфиопский быр
10;30.07.2004;33,6722;ќфиопский быр
